Rank,Name,G,10+,20+,30+,40+,50+,60+,70+,80+,90+
1,Michigan,9,70,24,10,3,1,0,0,0,0
2,Southern Mississippi,8,76,21,16,9,5,1,0,0,0
3,Cincinnati,9,78,28,14,6,2,1,1,0,0
4,San Diego State,9,79,26,13,8,5,2,1,1,0
5,Appalachian State,8,81,22,7,4,1,0,0,0,0
6,Clemson,9,86,39,12,8,4,2,1,0,0
7,Iowa,9,92,21,13,6,4,1,1,1,0
8,California,9,94,29,14,7,3,2,1,0,0
8,Georgia,9,94,17,12,6,2,0,0,0,0
8,Kentucky,9,94,30,14,4,2,1,1,1,0
11,Charlotte,9,96,34,17,8,3,3,3,1,1
11,Fresno State,9,96,21,7,4,3,1,1,0,0
11,Miami (Florida),9,96,32,12,5,2,1,1,0,0
11,Mississippi State,9,96,28,7,3,0,0,0,0,0
15,BYU,9,97,25,11,3,1,0,0,0,0
16,Iowa State,8,99,29,11,5,1,1,1,0,0
16,Maryland,9,99,29,13,8,5,4,2,2,0
16,Virginia,9,99,36,18,9,4,3,3,0,0
19,Alabama,9,100,39,13,6,2,1,1,0,0
19,Buffalo,9,100,36,13,9,6,4,4,1,0
19,Washington State,9,100,41,15,9,3,0,0,0,0
22,Texas A&M,9,101,47,23,14,9,5,3,1,0
22,UAB,9,101,32,14,7,3,1,0,0,0
24,Florida,9,103,43,18,11,4,2,2,0,0
25,Michigan State,9,104,31,12,5,4,4,3,0,0
25,Washington,10,104,24,7,1,1,1,0,0,0
27,Utah,9,106,34,15,7,3,3,1,1,0
28,Notre Dame,9,108,29,9,4,2,0,0,0,0
29,Army,9,109,32,16,7,7,3,1,1,0
29,Eastern Michigan,10,109,36,15,9,4,3,3,1,0
31,East Carolina,8,110,43,22,11,6,5,4,1,0
32,North Texas,9,111,37,25,12,5,3,1,0,0
32,TCU,9,111,33,17,9,5,2,0,0,0
34,Wisconsin,9,112,34,16,11,3,3,3,2,0
35,Tennessee,9,113,37,17,7,5,4,3,0,0
36,Arkansas State,9,114,43,28,18,13,8,1,0,0
36,LSU,9,114,37,16,5,1,0,0,0,0
36,Marshall,8,114,32,11,5,3,1,0,0,0
39,Utah State,9,115,36,16,8,4,1,1,0,0
40,Air Force,9,116,45,19,11,5,3,2,0,0
40,Boise State,9,116,42,23,14,9,3,3,0,0
40,North Carolina State,8,116,43,18,8,2,2,2,2,0
40,USC,9,116,42,19,11,3,1,1,0,0
40,UTEP,9,116,35,18,12,6,2,2,2,0
45,Akron,8,117,27,6,4,2,1,1,0,0
45,Central Michigan,10,117,44,16,9,4,1,1,0,0
45,Duke,9,117,43,17,8,5,3,1,1,0
45,Northern Illinois,9,117,36,14,9,4,2,2,0,0
45,Virginia Tech,8,117,42,21,13,6,4,4,3,1
50,North Carolina,8,118,42,19,11,6,3,1,1,0
50,Texas State,9,118,31,14,10,5,4,1,0,0
50,Wyoming,10,118,34,14,5,1,0,0,0,0
53,Northwestern,9,119,40,16,10,3,1,1,0,0
53,Oklahoma,9,119,37,17,9,3,1,0,0,0
53,Oregon,9,119,43,17,10,5,4,1,0,0
56,Boston College,9,120,37,11,5,2,2,2,0,0
56,Missouri,9,120,45,20,14,8,3,2,1,0
58,Tulsa,9,121,37,20,9,4,3,1,1,0
59,Georgia Tech,9,122,29,15,8,2,1,0,0,0
59,South Carolina,8,122,32,10,6,2,0,0,0,0
59,Temple,9,122,26,12,6,3,0,0,0,0
59,Troy,9,122,40,14,8,4,0,0,0,0
59,West Virginia,8,122,36,15,5,0,0,0,0,0
64,Minnesota,9,123,47,23,17,11,8,4,1,0
65,Auburn,9,125,41,20,8,3,1,1,0,0
65,Rutgers,9,125,52,22,15,9,2,1,0,0
67,Georgia Southern,9,126,34,14,8,6,3,1,1,0
67,Louisiana Tech,9,126,52,16,5,3,1,0,0,0
67,Louisville,9,126,48,27,13,8,3,2,0,0
70,Indiana,9,127,38,18,9,7,3,2,0,0
71,Colorado,9,128,36,19,11,5,3,2,0,0
71,Florida International,9,128,38,13,5,2,2,1,1,0
71,Florida State,9,128,42,17,13,7,3,0,0,0
71,Miami (Ohio),9,128,38,13,6,3,1,1,0,0
71,Middle Tennessee,9,128,45,22,15,9,3,0,0,0
76,Ohio,9,129,47,23,12,9,5,5,1,0
76,Oklahoma State,9,129,50,14,6,5,3,1,0,0
76,Texas,9,129,39,20,13,7,4,1,0,0
79,Baylor,9,130,54,30,19,12,6,4,1,0
80,Arizona State,9,132,38,12,5,1,0,0,0,0
80,Kansas State,9,132,37,17,9,7,5,3,3,0
80,Memphis,9,132,45,20,14,8,4,2,0,0
83,Pittsburgh,9,133,52,24,14,6,5,2,0,0
83,Stanford,9,133,39,20,8,4,0,0,0,0
83,UCF,8,133,39,13,6,2,1,1,0,0
83,UCLA,9,133,35,24,12,8,3,1,0,0
87,Arkansas,9,134,40,21,13,7,5,1,0,0
87,Ohio State,9,134,46,28,15,6,4,4,3,2
87,South Alabama,9,134,57,31,18,12,5,2,0,0
90,Liberty,8,135,61,24,19,9,5,2,1,0
90,Nevada,9,135,40,16,10,6,4,3,1,0
90,Syracuse,9,135,47,20,16,12,7,3,1,0
93,Florida Atlantic,9,137,39,19,9,3,3,0,0,0
93,Georgia State,9,137,57,33,21,15,11,6,2,1
93,Navy,9,137,43,22,15,9,6,3,0,0
93,Nebraska,9,137,47,23,16,7,3,1,1,0
97,Penn State,9,139,35,14,6,3,1,0,0,0
97,Toledo,9,139,55,29,15,6,4,0,0,0
99,Colorado State,9,140,46,22,16,9,4,1,1,0
99,Kent State,9,140,61,30,17,6,3,2,1,1
99,SMU,9,140,44,16,4,2,0,0,0,0
99,Vanderbilt,9,140,43,12,5,3,2,1,0,0
103,Louisiana-Lafayette,9,141,53,24,12,8,4,3,1,1
103,Tulane,9,141,43,22,7,4,2,1,1,0
103,Western Kentucky,9,141,45,20,9,4,1,0,0,0
106,UTSA,9,144,53,20,7,5,2,1,0,0
107,New Mexico,9,145,56,28,13,6,1,1,1,1
107,San Jose State,9,145,49,17,10,4,3,1,0,0
109,South Florida,9,147,51,26,12,4,2,2,1,0
110,Purdue,9,148,43,18,9,5,2,1,0,0
111,Western Michigan,10,150,51,25,10,6,3,2,0,0
112,Bowling Green,9,151,55,27,12,5,4,2,1,0
112,Texas Tech,9,151,53,30,14,4,2,1,0,0
112,UNLV,9,151,66,30,13,5,5,2,1,0
115,Louisiana-Monroe,9,152,55,18,9,7,4,2,1,0
116,Coastal Carolina,9,153,61,30,13,5,4,2,0,0
117,Arizona,10,155,48,15,8,7,3,0,0,0
117,Kansas,9,155,38,21,10,6,2,1,1,0
117,Mississippi,9,155,55,29,12,10,7,3,0,0
117,Wake Forest,9,155,49,28,17,13,6,3,0,0
121,Oregon State,9,157,65,29,19,8,4,2,0,0
122,Houston,9,158,44,28,11,7,1,1,1,1
122,Rice,10,158,66,32,20,10,5,2,1,1
124,Ball State,10,159,39,14,10,2,1,0,0,0
125,Old Dominion,9,161,52,27,17,8,5,4,1,0
126,Illinois,9,168,61,25,17,9,5,1,1,0
