"","Team","Conf","GP","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","ShtF/g","ShtA/g","GF/g","GA/g","GD/g","xGF/g","xGA/g","xGD/g"
"1","Atlanta United","Eastern",34,514,378,67,44,23,65.8,39,26.8,-3.8,15.1,11.1,1.97,1.29,0.68,1.94,1.15,0.79
"2","New York","Eastern",34,456,377,61,32,29,60.9,41.8,19.1,9.9,13.4,11.1,1.79,0.94,0.85,1.79,1.23,0.56
"3","Kansas City","Western",34,588,406,65,39,26,59.9,42.3,17.6,8.4,17.3,11.9,1.91,1.15,0.76,1.76,1.24,0.52
"4","Columbus","Eastern",34,500,370,41,43,-2,51.5,35.9,15.6,-17.6,14.7,10.9,1.21,1.26,-0.06,1.52,1.06,0.46
"5","New York City FC","Eastern",34,534,424,57,44,13,56.4,41.9,14.5,-1.5,15.7,12.5,1.68,1.29,0.38,1.66,1.23,0.43
"6","Los Angeles FC","Western",34,527,431,65,52,13,58.7,45.4,13.3,-0.3,15.5,12.7,1.91,1.53,0.38,1.73,1.34,0.39
"7","Houston","Western",34,476,416,58,56,2,57,48,9,-7,14,12.2,1.71,1.65,0.06,1.68,1.41,0.26
"8","FC Dallas","Western",34,483,441,50,43,7,50.5,45.8,4.8,2.2,14.2,13,1.47,1.26,0.21,1.49,1.35,0.14
"9","Philadelphia","Eastern",34,473,429,49,49,0,51,47.1,3.9,-3.9,13.9,12.6,1.44,1.44,0,1.5,1.38,0.12
"10","Portland","Western",34,470,451,52,45,7,52.5,49,3.5,3.5,13.8,13.3,1.53,1.32,0.21,1.55,1.44,0.1
"11","Toronto","Eastern",34,485,464,58,64,-6,55.1,52.6,2.5,-8.5,14.3,13.6,1.71,1.88,-0.18,1.62,1.55,0.07
"12","L.A. Galaxy","Western",34,427,521,66,61,5,51.8,53,-1.1,6.1,12.6,15.3,1.94,1.79,0.15,1.52,1.56,-0.03
"13","Montreal","Eastern",34,426,440,45,50,-5,41.5,45.7,-4.2,-0.8,12.5,12.9,1.32,1.47,-0.15,1.22,1.34,-0.12
"14","Vancouver","Western",34,419,517,53,64,-11,48.8,54.9,-6.2,-4.8,12.3,15.2,1.56,1.88,-0.32,1.43,1.62,-0.18
"15","Seattle","Western",34,431,455,49,36,13,45,51.3,-6.3,19.3,12.7,13.4,1.44,1.06,0.38,1.32,1.51,-0.19
"16","DC United","Eastern",34,397,548,59,49,10,47.6,54.1,-6.5,16.5,11.7,16.1,1.74,1.44,0.29,1.4,1.59,-0.19
"17","Salt Lake","Western",34,467,447,55,57,-2,44.4,53.4,-9.1,7.1,13.7,13.1,1.62,1.68,-0.06,1.31,1.57,-0.27
"18","New England","Eastern",34,485,438,48,52,-4,45.1,55.2,-10.1,6.1,14.3,12.9,1.41,1.53,-0.12,1.33,1.62,-0.3
"19","Minnesota United","Western",34,377,553,48,70,-22,45.8,60.2,-14.4,-7.6,11.1,16.3,1.41,2.06,-0.65,1.35,1.77,-0.42
"20","San Jose","Western",34,438,518,47,71,-24,45.3,62.4,-17.1,-6.9,12.9,15.2,1.38,2.09,-0.71,1.33,1.83,-0.5
"21","Chicago","Eastern",34,344,505,46,60,-14,39.5,57.1,-17.6,3.6,10.1,14.9,1.35,1.76,-0.41,1.16,1.68,-0.52
"22","Orlando City","Eastern",34,442,484,41,72,-31,43.6,61.6,-18.1,-12.9,13,14.2,1.21,2.12,-0.91,1.28,1.81,-0.53
"23","Colorado","Western",34,381,527,34,61,-27,37.5,57.4,-19.9,-7.1,11.2,15.5,1,1.79,-0.79,1.1,1.69,-0.58
