,Institution,Conference,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
1,Air Force,MWC,228562,168967,156158,177519,174924
2,Akron,MAC,107101,55019,108588,62021,117416
3,Alabama,SEC,710538,710736,707786,712747,712053
4,Appalachian St.,FBS Independent,149366,NA,NA,NA,NA
5,Appalachian St.,Sun Belt,NA,138995,128755,156916,154722
6,Arizona,Pac-12,285713,354973,308355,338017,255791
7,Arizona St.,Pac-12,501509,343073,368985,286417,359660
8,Arkansas,SEC,431174,399124,471279,487067,442569
9,Arkansas St.,Sun Belt,149477,149163,138043,136200,119538
10,Army West Point,FBS Independent,169781,171310,185946,163267,185543
11,Auburn,SEC,685252,612157,612157,695498,605120
12,Ball St.,MAC,90784,56332,47841,38946,59395
13,Baylor,Big 12,321639,280257,276960,275029,262978
14,Boise St.,MWC,206198,227526,201669,205640,217881
15,Boston College,ACC,198035,239893,211433,192942,215546
16,Bowling Green,MAC,91548,91365,98042,90838,79405
17,Buffalo,MAC,136418,122418,110743,104957,80102
18,BYU,FBS Independent,367349,342843,351191,351413,337599
19,California,Pac-12,345303,286051,292797,279769,219290
20,Central Mich.,MAC,66119,97838,94029,104447,67520
21,Charlotte,C-USA,NA,NA,87705,85154,71420
22,Charlotte,FBS Independent,NA,79632,NA,NA,NA
23,Cincinnati,AAC,190624,173037,222578,235095,170603
24,Clemson,ACC,574333,572262,588266,566787,565412
25,Coastal Caro.,FBS Independent,NA,NA,NA,67137,NA
26,Coastal Caro.,Sun Belt,NA,NA,NA,NA,89754
27,Colorado,Pac-12,230778,226670,236331,279652,282335
28,Colorado St.,MWC,111598,159450,149500,165598,192369
29,Duke,ACC,182431,191039,158562,179369,187581
30,East Carolina,AAC,NA,268713,259645,264680,257090
31,East Carolina,C-USA,263910,NA,NA,NA,NA
32,Eastern Mich.,MAC,20255,75127,29381,106064,73649
33,FIU,C-USA,92717,95728,76907,117526,100002
34,Fla. Atlantic,C-USA,72758,70608,105703,60437,151580
35,Florida,SEC,524638,515001,630457,439229,520290
36,Florida St.,ACC,527947,575478,512534,460801,425658
37,Fresno St.,MWC,258417,209257,174217,152960,183789
38,Ga. Southern,FBS Independent,88968,NA,NA,NA,NA
39,Ga. Southern,Sun Belt,NA,105510,124681,104095,61031
40,Georgia,SEC,556476,649222,649222,556476,556476
41,Georgia St.,Sun Belt,109039,90037,62081,90617,79163
42,Georgia Tech,ACC,343542,291113,354946,332518,281310
43,Hawaii,MWC,185931,192159,164031,170299,145463
44,Houston,AAC,145537,198177,271836,233716,195499
