Team,Conference,G.1617,W.1617,L.1617,Plays.1617,YDS.1617,Yds.Play.1617,Off.TDs.1617,YPG.1617,G.1718,W.1718,L.1718,Plays.1718,YDS.1718,Yds.Play.1718,Off.TDs.1718,YPG.1718
Texas Tech,Big 12,12,5,7,1042,6774,6.5,69,564.5,13,6,7,1000,6170,6.17,54,474.6
Oklahoma,Big 12,13,11,2,957,7212,7.54,73,554.8,14,12,2,979,8114,8.29,80,579.6
Louisville,ACC,13,9,4,961,6925,7.21,69,532.7,13,8,5,959,7084,7.39,62,544.9
Tulsa,AAC,13,10,3,1114,6851,6.15,66,527,12,2,10,884,5044,5.71,42,420.3
Western Ky.,C-USA,14,11,3,958,7324,7.65,77,523.1,13,6,7,968,5146,5.32,42,395.8
Baylor,Big 12,13,7,6,1108,6795,6.13,58,522.7,12,1,11,876,4859,5.55,33,404.9
Toledo,MAC,13,9,4,935,6731,7.2,63,517.8,14,11,3,981,6775,6.91,60,483.9
Middle Tenn.,C-USA,13,8,5,973,6730,6.92,65,517.7,13,7,6,900,5114,5.68,38,393.4
Louisiana Tech,C-USA,14,9,5,960,7206,7.51,73,514.7,13,7,6,915,5239,5.73,39,403
California,Pac-12,12,5,7,1035,6158,5.95,53,513.2,12,5,7,892,4614,5.17,36,384.5
South Fla.,AAC,13,11,2,928,6650,7.17,73,511.5,12,10,2,1001,6156,6.15,55,513
Clemson,ACC,15,14,1,1220,7555,6.19,75,503.7,14,12,2,1048,6014,5.74,57,429.6
Missouri,SEC,12,4,8,948,6006,6.34,49,500.5,13,7,6,916,6528,7.13,60,502.2
Oklahoma St.,Big 12,13,10,3,956,6432,6.73,61,494.8,13,10,3,1008,7396,7.34,71,568.9
Oregon,Pac-12,12,4,8,892,5900,6.61,57,491.7,13,7,6,939,5732,6.1,58,440.9
Texas,Big 12,12,5,7,999,5895,5.9,48,491.3,13,7,6,1006,5180,5.15,42,398.5
West Virginia,Big 12,13,10,3,983,6312,6.42,50,485.5,13,7,6,941,5975,6.35,55,459.6
Washington St.,Pac-12,13,8,5,1026,6273,6.11,63,482.5,13,9,4,1016,5653,5.56,45,434.8
Western Mich.,MAC,14,13,1,1012,6737,6.66,69,481.2,12,6,6,856,4675,5.46,45,389.6
Southern California,Pac-12,13,10,3,969,6202,6.4,51,477.1,14,11,3,1034,6777,6.55,55,484.1
Boise St.,MWC,13,10,3,899,6146,6.84,57,472.8,14,11,3,981,5686,5.8,51,406.1
Southern Miss.,C-USA,13,7,6,1022,6146,6.01,52,472.8,13,8,5,937,5520,5.89,43,424.6
East Carolina,AAC,12,3,9,958,5605,5.85,39,467.1,12,3,9,939,5107,5.44,36,425.6
Texas A&M,SEC,13,8,5,953,6071,6.37,53,467,13,7,6,955,5289,5.54,48,406.8
