DATE,PLAYER,FROM,TO,FEE
2018-07-23,Brandon Borrello,1.FC Kaiserslautern,SC Freiburg,Free
2018-08-02,Leonardo Bonucci,AC Milan,Juventus,€ 35M
2018-08-10,André Silva,AC Milan,Sevilla FC,Loan
2018-08-11,Luca Antonelli,AC Milan,Empoli,Free
2018-08-13,Nikola Kalinic,AC Milan,Atletico Madrid,Undisclosed
2018-08-13,Manuel Locatelli,AC Milan,Sassuolo,Loan
2018-08-17,Carlos Bacca,AC Milan,Villarreal,Undisclosed
2018-08-17,Gianluca Lapadula,AC Milan,Genoa,Undisclosed
2018-08-17,Gabriel,AC Milan,Perugia,Undisclosed
2018-08-17,Jherson Vergara Amu,AC Milan,Cagliari,Undisclosed
2018-07-31,Janoi Donacien,Accrington Stanley,Ipswich Town,Loan
2018-08-09,Kayden Jackson,Accrington Stanley,Ipswich Town,Undisclosed
2018-07-30,Sam Surridge,AFC Bournemouth,Oldham Athletic,Loan
2018-08-08,Emerson Hyndman,AFC Bournemouth,Hibernian,Loan
2018-08-08,Connor Mahoney,AFC Bournemouth,Birmingham City,Loan
2018-08-08,Brad Smith,AFC Bournemouth,Seattle Sounders FC,Loan
2018-08-09,Harry Arter,AFC Bournemouth,Cardiff City,Loan
2018-08-31,Matt Worthington,AFC Bournemouth,Forest Green Rovers,Loan
2018-08-28,Aleksandar Jovanovic,AGF Aarhus,Huesca,Undisclosed
2018-07-17,Darren Sidoel,Ajax Amsterdam,Reading,Free
2018-08-23,Siem De Jong,Ajax Amsterdam,Sydney FC,Loan
2018-07-24,Ermedin Demirovic,Alavés,Sochaux,Loan
2018-07-27,José Pozo,Almeria,Rayo Vallecano,Free
2018-08-31,Joaquín,Almeria,Real Valladolid,Undisclosed
2018-08-07,Isaac Kiese Thelin,Anderlecht,Bayer Leverkusen,Loan
2018-08-09,Leander Dendoncker,Anderlecht,Wolverhampton Wanderers,Loan
2018-07-20,Alexandre Letellier,Angers,Troyes,Loan
2018-07-21,Johan Djourou,Antalyaspor,SPAL,Free
2018-07-19,Kelechi Nwakali,Arsenal,FC Porto,Loan
2018-07-26,Jeff Reine-Adelaide,Arsenal,Angers,Undisclosed
2018-07-30,Matt Macey,Arsenal,Plymouth Argyle,Loan
2018-08-03,Chuba Akpom,Arsenal,PAOK Salonika,Undisclosed
2018-08-03,João Virgínia,Arsenal,Everton,Undisclosed
2018-08-07,Santi Cazorla,Arsenal,Villarreal,Free
2018-08-07,Calum Chambers,Arsenal,Fulham,Loan
2018-08-09,Lucas Pérez,Arsenal,West Ham United,Undisclosed
2018-08-16,Krystian Bielik,Arsenal,Charlton Athletic,Loan
2018-08-17,Joel Campbell,Arsenal,Frosinone,Undisclosed
2018-08-17,Stephy Mavididi,Arsenal,Juventus,Undisclosed
2018-08-17,David Ospina,Arsenal,Napoli,Loan
2018-08-21,Josh Da Silva,Arsenal,Brentford,Undisclosed
2018-08-31,Reiss Nelson,Arsenal,TSG Hoffenheim,Loan
2018-07-20,Adama Diakhaby,AS Monaco,Huddersfield Town,Undisclosed
2018-07-24,João Moutinho,AS Monaco,Wolverhampton Wanderers,Undisclosed
2018-07-27,Thomas Lemar,AS Monaco,Atletico Madrid,Undisclosed
2018-08-05,Rachid Ghezzal,AS Monaco,Leicester City,Undisclosed
2018-08-07,Gabriel Boschilia,AS Monaco,Nantes,Loan
2018-08-13,Keita Baldé,AS Monaco,Internazionale,Loan
2018-07-19,Alisson,AS Roma,Liverpool,€ 62.5M
2018-07-27,Gregoire Defrel,AS Roma,Sampdoria,Loan
2018-08-08,Daniele Verde,AS Roma,Real Valladolid,Loan
2018-08-17,Michele Antenori,AS Roma,Bologna,Undisclosed
2018-08-20,Maxime Gonalons,AS Roma,Sevilla FC,Loan
2018-08-28,Kevin Strootman,AS Roma,Marseille,€ 25M
2018-08-09,Gary Gardner,Aston Villa,Birmingham City,Loan
2018-08-10,Jed Steer,Aston Villa,Charlton Athletic,Loan
2018-08-16,Mitchell Clarke,Aston Villa,Port Vale,Loan
2018-08-29,Andre Green,Aston Villa,Portsmouth,Loan
2018-08-29,Aaron Tshibola,Aston Villa,Kilmarnock,Loan
2018-08-31,Tommy Elphick,Aston Villa,Hull City,Loan
2018-08-31,Jordan Lyden,Aston Villa,Oldham Athletic,Loan
2018-08-31,Kelsey Mooney,Aston Villa,Cheltenham Town,Loan
2018-09-14,Ritchie de Laet,Aston Villa,Melbourne City FC,Loan
2018-09-19,Ross McCormack,Aston Villa,Central Coast Mariners,Loan
2018-08-06,Andrea Petagna,Atalanta,SPAL,Loan
2018-08-17,Christian Capone,Atalanta,US Pescara,Loan
